"""x-waarde"",""y-waarde"",""CO2"",""CH4"",""NO2"",""NH3"""
0,84,192.24,3.97,42.68,0.03
0,85,157.09,3.29,46.15,0.03
0,86,107.1,2.89,56.01,0.03
0,87,149.74,2.36,58.7,0.03
0,88,109.55,3.06,44.94,0.02
0,89,151.8,2.97,38.0,0.02
0,90,133.68,2.19,53.13,0.03
0,91,131.34,3.12,59.58,0.03
0,92,145.97,2.33,42.15,0.04
0,93,101.96,2.9,51.47,0.02
0,94,182.43,3.75,33.78,0.04
0,95,155.76,3.4,52.37,0.03
0,96,198.84,2.89,53.64,0.03
0,97,127.77,3.8,31.33,0.02
0,98,169.47,3.23,51.6,0.03
0,99,178.07,3.41,54.64,0.02
1,0,834.19,18.66,257.38,0.16
1,1,1487.72,21.61,577.89,0.32
1,2,1487.72,21.61,577.89,0.32
1,3,1487.72,21.61,577.89,0.32
1,4,834.19,18.66,257.38,0.16
1,5,117.27,2.05,55.99,0.03
1,6,161.68,2.78,56.55,0.03
1,7,109.35,3.9,55.59,0.03
1,8,195.66,2.83,45.12,0.03
1,9,195.08,2.87,39.62,0.03
1,10,110.16,3.5,38.44,0.04
1,11,182.99,3.87,45.74,0.03
1,12,178.15,2.23,59.43,0.02
1,13,142.53,2.48,42.25,0.02
1,14,166.67,2.93,41.26,0.03
1,15,150.91,3.35,59.86,0.03
1,16,111.92,3.37,46.46,0.03
1,17,141.8,3.49,32.93,0.03
1,18,174.91,3.04,50.62,0.03
1,19,188.79,2.97,49.53,0.03
1,20,185.26,3.68,38.37,0.03
1,21,119.5,2.51,46.7,0.04
1,22,106.25,3.39,52.76,0.02
1,23,183.68,3.77,52.7,0.04
1,24,181.14,3.21,45.05,0.02
1,25,198.95,2.98,49.71,0.04
1,26,191.4,2.31,43.9,0.02
1,27,102.28,3.26,54.72,0.04
1,28,131.34,2.42,33.25,0.03
1,29,101.6,2.84,46.53,0.03
1,30,150.65,3.35,35.38,0.03
1,31,133.71,2.84,45.97,0.03
1,32,174.55,3.55,48.66,0.03
1,33,192.56,2.74,41.24,0.03
1,34,146.08,3.05,33.39,0.03
1,35,196.66,2.81,55.27,0.03
1,36,110.13,3.93,59.65,0.03
1,37,157.29,3.23,38.46,0.02
1,38,171.24,2.37,50.58,0.03
1,39,166.3,3.9,59.68,0.04
1,40,121.91,2.73,30.32,0.03
1,41,176.99,3.15,31.01,0.03
1,42,143.81,2.42,52.68,0.04
1,43,184.97,3.72,54.98,0.02
1,44,141.34,3.57,36.86,0.04
1,45,116.53,2.67,48.26,0.03
1,46,191.22,2.15,58.8,0.02
1,47,188.4,3.3,50.51,0.03
1,48,197.01,2.38,43.18,0.03
1,49,121.05,2.03,54.94,0.03
1,50,134.57,3.32,37.48,0.04
1,51,135.84,3.32,36.34,0.03
1,52,142.12,3.65,30.39,0.03
1,53,122.29,2.1,58.65,0.03
1,54,149.51,3.04,30.93,0.03
1,55,100.39,3.62,58.16,0.02
1,56,134.65,3.15,47.79,0.04
1,57,185.69,3.57,44.08,0.04
1,58,109.89,2.99,55.02,0.03
1,59,153.11,2.8,43.89,0.04
1,60,104.64,2.95,57.04,0.02
1,61,137.13,2.38,33.72,0.03
1,62,125.5,3.94,49.92,0.02
1,63,106.88,2.58,43.32,0.03
1,64,115.75,3.31,48.39,0.04
1,65,151.15,2.32,50.83,0.02
1,66,151.35,3.17,47.61,0.03
1,67,105.51,2.11,47.81,0.04
1,68,175.3,2.16,52.94,0.03
1,69,177.54,2.4,55.31,0.04
1,70,140.78,3.74,43.71,0.03
1,71,101.13,2.6,31.6,0.04
1,72,126.57,3.84,42.22,0.04
1,73,174.88,3.38,30.07,0.03
1,74,149.26,2.85,36.02,0.03
1,75,133.44,2.82,49.45,0.03
1,76,164.28,2.07,51.1,0.03
1,77,123.88,2.39,47.79,0.04
1,78,141.42,3.57,51.75,0.03
1,79,168.96,3.84,31.17,0.02
1,80,169.21,2.43,34.5,0.04
1,81,193.26,3.66,58.36,0.02
1,82,197.08,2.73,54.4,0.03
1,83,154.56,3.83,45.77,0.02
1,84,101.23,3.69,35.17,0.02
1,85,172.04,3.77,55.76,0.03
1,86,117.35,3.14,57.86,0.04
1,87,164.71,3.04,39.43,0.03
1,88,134.9,3.22,51.6,0.04
1,89,188.57,3.53,38.45,0.04
1,90,173.01,3.92,44.61,0.02
1,91,110.88,2.56,48.84,0.03
1,92,151.62,3.88,30.67,0.02
1,93,196.14,2.04,47.12,0.03
1,94,129.17,2.13,34.41,0.03
1,95,113.35,3.82,31.79,0.03
1,96,183.48,3.79,58.09,0.02
1,97,127.27,3.19,56.34,0.04
1,98,139.94,2.79,58.22,0.03
1,99,112.27,2.41,42.51,0.04
2,0,834.19,18.66,257.38,0.16
2,1,1487.72,21.61,577.89,0.32
2,2,2067.05,71.37,760.98,0.5
2,3,1487.72,21.61,577.89,0.32
2,4,834.19,18.66,257.38,0.16
2,5,129.69,3.28,49.07,0.03
2,6,158.27,3.87,41.26,0.02
2,7,104.31,3.89,58.08,0.03
2,8,180.1,3.81,46.66,0.02
2,9,176.57,2.53,51.77,0.03
2,10,115.61,2.04,57.5,0.03
2,11,136.4,2.68,49.14,0.04
2,12,192.95,3.53,53.49,0.03
2,13,131.33,2.04,54.52,0.03
2,14,193.92,2.98,38.92,0.02
2,15,191.12,3.63,42.67,0.04
2,16,132.21,2.67,38.47,0.02
2,17,119.39,3.08,31.26,0.04
2,18,159.05,3.89,47.51,0.03
2,19,113.17,2.31,33.8,0.04
2,20,175.39,2.6,38.58,0.03
2,21,185.75,2.71,42.12,0.03
2,22,132.18,2.71,42.46,0.02
2,23,187.75,2.44,45.5,0.03
2,24,148.6,2.69,37.77,0.03
2,25,175.35,2.81,35.18,0.03
2,26,106.81,3.14,39.76,0.03
2,27,141.26,3.2,35.23,0.02
2,28,159.63,3.19,45.8,0.03
2,29,154.23,3.16,53.49,0.03
2,30,168.59,2.94,32.93,0.04
2,31,111.06,2.43,32.47,0.02
2,32,156.46,2.52,36.82,0.03
2,33,123.77,3.17,30.4,0.02
2,34,116.27,3.75,30.93,0.03
2,35,114.65,2.19,41.76,0.04
2,36,178.74,2.18,44.42,0.02
2,37,161.44,3.39,32.68,0.03
2,38,100.01,3.38,36.86,0.02
2,39,179.27,3.12,41.53,0.03
2,40,131.95,2.73,47.93,0.03
2,41,189.26,3.22,52.69,0.03
2,42,183.01,3.08,47.93,0.04
2,43,191.56,3.44,59.34,0.04
2,44,158.25,2.91,33.1,0.02
2,45,171.27,2.15,38.4,0.03
2,46,188.57,3.21,34.59,0.03
2,47,198.3,3.0,45.66,0.04
2,48,191.79,3.53,34.93,0.04
2,49,176.1,2.87,38.34,0.03
2,50,151.76,2.52,44.59,0.03
2,51,113.61,3.62,34.88,0.02
2,52,158.97,3.71,38.07,0.03
2,53,197.64,2.62,36.57,0.03
2,54,155.46,2.6,55.25,0.04
2,55,104.9,3.31,39.67,0.02
2,56,119.22,2.84,36.44,0.04
2,57,121.77,2.57,55.58,0.03
2,58,172.56,3.03,40.97,0.03
2,59,162.18,3.87,53.86,0.03
2,60,194.52,2.64,58.91,0.02
2,61,174.73,3.06,33.11,0.04
2,62,100.03,2.56,56.85,0.04
2,63,116.02,3.51,35.39,0.03
2,64,111.56,3.63,54.35,0.03
2,65,185.39,3.3,36.93,0.04
2,66,115.9,3.16,30.66,0.02
2,67,147.43,2.55,44.92,0.03
2,68,113.65,3.83,43.69,0.03
2,69,178.28,2.36,38.08,0.03
2,70,152.1,2.59,53.78,0.03
2,71,135.91,3.89,51.4,0.02
2,72,169.59,3.72,43.06,0.02
2,73,156.98,3.28,58.8,0.04
2,74,196.38,3.84,48.52,0.03
2,75,191.25,2.22,35.1,0.02
2,76,106.21,2.89,49.09,0.03
2,77,189.09,2.68,52.47,0.02
2,78,138.23,3.78,59.85,0.03
2,79,147.25,2.63,32.0,0.03
2,80,188.91,2.48,37.4,0.02
2,81,102.2,2.04,36.83,0.03
2,82,158.96,2.8,59.71,0.02
2,83,144.44,3.17,30.66,0.02
2,84,153.69,2.32,57.47,0.03
2,85,121.4,3.31,52.89,0.04
2,86,108.98,3.98,54.65,0.03
2,87,172.76,2.86,30.93,0.02
2,88,128.85,3.13,41.98,0.03
2,89,162.26,3.9,43.28,0.03
2,90,153.74,2.77,57.59,0.03
2,91,160.2,2.49,34.87,0.03
2,92,168.15,3.62,48.73,0.03
2,93,105.06,2.34,53.18,0.02
2,94,179.52,2.65,32.58,0.02
2,95,132.52,3.33,48.38,0.03
2,96,132.15,2.16,35.92,0.03
2,97,108.41,3.2,46.55,0.03
2,98,188.24,3.45,41.87,0.04
2,99,153.53,2.67,58.16,0.03
3,0,834.19,18.66,257.38,0.16
3,1,1487.72,21.61,577.89,0.32
3,2,1487.72,21.61,577.89,0.32
3,3,1487.72,21.61,577.89,0.32
3,4,834.19,18.66,257.38,0.16
3,5,168.53,2.94,45.2,0.03
3,6,107.26,2.96,54.71,0.02
3,7,147.14,3.48,46.83,0.03
3,8,122.57,3.54,50.37,0.04
3,9,184.0,3.72,40.28,0.04
3,10,190.11,2.42,44.34,0.03
3,11,178.25,2.63,54.74,0.03
3,12,198.61,2.79,38.03,0.03
3,13,143.7,3.35,59.94,0.04
3,14,175.67,2.39,32.06,0.03
3,15,129.27,3.59,48.6,0.03
3,16,127.74,3.32,30.8,0.03
3,17,143.36,3.8,58.81,0.04
3,18,112.34,2.68,49.22,0.03
3,19,160.35,3.07,58.06,0.02
3,20,177.79,3.7,33.6,0.03
3,21,119.02,3.36,50.48,0.02
3,22,195.2,3.28,30.15,0.03
3,23,107.57,2.83,31.21,0.04
3,24,198.41,2.88,34.94,0.04
3,25,183.56,2.83,38.16,0.03
3,26,145.2,3.19,30.33,0.04
3,27,125.15,3.33,35.06,0.03
3,28,179.66,2.05,51.56,0.03
3,29,189.2,3.76,44.34,0.04
3,30,118.59,2.9,32.73,0.03
3,31,163.63,3.32,35.14,0.02
3,32,124.21,2.87,31.85,0.03
3,33,125.87,3.97,40.63,0.02
3,34,141.71,2.49,59.7,0.02
3,35,153.81,3.71,59.84,0.03
3,36,107.13,3.33,32.07,0.03
3,37,152.13,3.85,55.41,0.03
3,38,127.04,3.44,44.72,0.03
3,39,195.41,3.48,52.37,0.03
3,40,113.27,3.35,53.44,0.04
3,41,174.89,3.95,51.37,0.02
3,42,184.76,3.68,50.85,0.02
3,43,197.08,2.48,40.03,0.02
3,44,144.07,2.84,56.45,0.04
3,45,180.58,2.71,38.92,0.04
3,46,165.28,3.75,37.1,0.03
3,47,119.2,2.97,33.25,0.02
3,48,118.42,3.13,38.89,0.03
3,49,107.39,3.3,45.09,0.03
3,50,144.33,3.74,45.22,0.03
3,51,191.05,3.8,35.97,0.02
3,52,159.47,2.36,40.58,0.03
3,53,194.53,2.96,33.17,0.04
3,54,184.11,3.65,38.35,0.04
3,55,138.58,2.45,48.72,0.03
3,56,139.78,2.66,58.81,0.02
3,57,148.56,2.64,40.05,0.03
3,58,144.18,3.38,44.22,0.02
3,59,119.77,2.25,49.37,0.04
3,60,115.78,3.41,47.19,0.03
3,61,163.69,3.8,37.19,0.03
3,62,139.75,2.49,40.56,0.02
3,63,107.56,3.89,58.26,0.03
3,64,104.06,3.03,43.29,0.04
3,65,186.8,3.44,45.84,0.02
3,66,134.47,2.27,45.74,0.03
3,67,175.5,2.49,33.09,0.04
3,68,129.52,2.3,37.6,0.03
3,69,148.3,3.2,56.45,0.03
3,70,189.01,2.59,46.89,0.03
3,71,156.46,3.34,40.97,0.02
3,72,141.07,3.87,44.03,0.04
3,73,161.94,3.46,56.13,0.02
3,74,184.94,2.45,34.41,0.02
3,75,168.52,3.23,48.81,0.03
3,76,137.49,3.51,49.32,0.03
3,77,152.7,2.26,46.21,0.02
3,78,153.83,3.14,57.08,0.03
3,79,148.19,2.0,36.25,0.02
3,80,187.91,2.8,36.62,0.03
3,81,164.81,2.21,39.97,0.03
3,82,124.58,2.52,59.12,0.02
3,83,151.23,3.81,51.14,0.04
3,84,195.44,3.77,49.9,0.02
3,85,191.52,2.1,41.5,0.04
3,86,191.85,3.03,56.74,0.02
3,87,196.41,2.68,49.1,0.03
3,88,178.85,3.97,48.55,0.04
3,89,125.71,2.56,44.87,0.02
3,90,114.53,3.89,46.15,0.04
3,91,147.54,2.81,59.7,0.03
3,92,155.72,3.37,59.87,0.04
3,93,190.78,3.68,47.98,0.02
3,94,181.33,3.49,40.58,0.04
3,95,185.76,3.51,59.2,0.04
3,96,139.92,2.2,34.71,0.03
3,97,106.87,2.56,53.53,0.04
3,98,153.86,2.76,35.97,0.03
3,99,170.09,3.82,34.44,0.02
4,0,834.19,18.66,257.38,0.16
4,1,834.19,18.66,257.38,0.16
4,2,834.19,18.66,257.38,0.16
4,3,834.19,18.66,257.38,0.16
4,4,834.19,18.66,257.38,0.16
4,5,181.56,3.11,59.02,0.02
4,6,183.4,2.9,50.8,0.02
4,7,119.0,3.37,40.8,0.02
4,8,157.23,3.47,52.03,0.03
4,9,185.9,2.21,51.45,0.04
4,10,178.19,3.64,32.95,0.03
4,11,126.15,3.44,41.94,0.03
4,12,182.08,2.48,34.33,0.02
4,13,191.89,3.71,44.61,0.03
4,14,177.68,3.65,53.23,0.04
4,15,149.1,2.24,32.56,0.03
4,16,140.54,2.67,54.81,0.04
4,17,173.89,2.31,46.98,0.03
4,18,179.28,3.94,36.96,0.02
4,19,191.0,3.38,43.73,0.03
4,20,146.76,3.33,31.76,0.03
4,21,150.94,3.13,42.58,0.03
4,22,119.44,2.77,51.81,0.02
4,23,117.09,2.76,59.56,0.03
4,24,189.17,2.9,35.2,0.04
4,25,108.11,2.44,55.09,0.03
4,26,158.17,2.34,53.59,0.03
4,27,148.14,2.59,36.01,0.02
4,28,194.83,2.43,42.8,0.03
4,29,184.47,3.33,37.73,0.03
4,30,137.84,2.03,35.07,0.04
4,31,190.63,2.92,47.78,0.03
4,32,163.62,3.7,54.36,0.03
4,33,174.89,2.64,32.33,0.02
4,34,117.7,2.52,38.25,0.02
4,35,105.96,3.35,51.93,0.03
4,36,116.99,2.0,48.88,0.03
4,37,159.34,2.67,38.3,0.02
4,38,187.75,3.69,52.17,0.04
4,39,156.03,3.67,51.2,0.04
4,40,161.72,2.79,43.9,0.03
4,41,185.13,3.14,36.93,0.03
4,42,190.51,3.6,39.4,0.03
4,43,120.67,2.49,36.0,0.03
4,44,125.22,2.88,54.1,0.02
4,45,123.53,3.55,35.43,0.03
4,46,146.88,3.05,47.72,0.02
4,47,191.46,2.61,34.78,0.02
4,48,111.64,3.49,51.1,0.02
4,49,152.71,3.69,52.25,0.04
4,50,198.0,2.18,31.04,0.04
4,51,145.36,2.25,41.92,0.04
4,52,114.54,3.46,51.93,0.03
4,53,139.95,2.38,30.01,0.03
4,54,174.65,3.65,38.28,0.03
4,55,147.16,3.53,38.41,0.04
4,56,117.73,3.03,44.92,0.04
4,57,119.52,2.53,59.79,0.04
4,58,168.59,3.72,43.86,0.02
4,59,122.61,3.45,39.9,0.04
4,60,127.66,3.53,37.91,0.02
4,61,171.26,3.31,42.02,0.02
4,62,149.06,3.6,38.6,0.04
4,63,103.44,2.72,53.17,0.04
4,64,163.17,3.28,34.81,0.03
4,65,173.45,3.05,41.95,0.03
4,66,170.94,3.18,47.64,0.03
4,67,141.59,2.51,58.58,0.03
4,68,134.19,3.25,54.17,0.04
4,69,131.65,2.65,51.13,0.03
4,70,127.07,3.88,51.37,0.04
4,71,192.3,3.02,58.3,0.03
4,72,106.42,2.27,39.81,0.03
4,73,142.03,3.66,50.32,0.03
4,74,159.9,3.06,40.05,0.04
4,75,170.25,2.13,42.03,0.04
4,76,196.93,2.73,39.6,0.03
4,77,126.23,2.5,55.31,0.03
4,78,140.02,2.71,57.41,0.03
4,79,171.96,3.96,50.92,0.02
4,80,172.2,3.13,45.32,0.03
4,81,131.13,3.92,53.56,0.02
4,82,151.19,2.02,42.07,0.02
4,83,193.57,3.65,54.62,0.02
4,84,159.86,2.52,49.66,0.02
4,85,198.75,3.5,30.2,0.04
4,86,111.41,2.75,45.57,0.03
4,87,162.21,2.3,34.29,0.03
4,88,116.56,3.38,34.83,0.02
4,89,123.46,2.97,34.44,0.03
4,90,162.5,2.33,58.14,0.03
4,91,130.93,2.51,48.2,0.03
4,92,124.29,3.72,56.0,0.03
4,93,110.95,2.23,44.63,0.04
4,94,115.16,2.58,40.61,0.03
4,95,181.68,3.36,33.6,0.02
4,96,104.98,3.49,35.3,0.03
4,97,189.53,2.55,44.94,0.04
4,98,185.48,3.07,57.33,0.03
4,99,150.05,3.55,48.75,0.04
5,0,187.48,3.65,54.73,0.04
5,1,139.32,3.8,49.53,0.04
5,2,104.62,3.51,34.95,0.03
5,3,160.72,3.03,53.12,0.03
5,4,123.96,2.19,42.06,0.03
5,5,143.86,3.87,30.22,0.04
5,6,167.26,2.48,41.97,0.02
5,7,139.46,3.48,40.78,0.02
5,8,159.52,2.06,48.51,0.02
5,9,178.55,2.36,38.61,0.04
5,10,188.13,2.28,53.67,0.02
5,11,126.05,2.39,53.65,0.03
5,12,197.34,2.49,31.47,0.02
5,13,161.31,2.47,55.68,0.03
5,14,154.26,2.1,31.97,0.04
5,15,188.11,3.4,51.64,0.03
5,16,170.34,3.73,34.36,0.03
5,17,179.28,2.85,35.12,0.03
5,18,172.73,3.11,42.2,0.04
5,19,138.89,2.28,53.3,0.02
5,20,194.85,2.25,48.89,0.04
5,21,173.82,2.53,39.38,0.02
5,22,178.91,2.97,44.01,0.03
5,23,148.72,2.36,47.95,0.03
5,24,152.24,2.56,40.65,0.04
5,25,158.91,2.79,38.59,0.02
5,26,105.74,3.11,53.34,0.04
5,27,123.33,3.41,46.4,0.04
5,28,111.66,2.79,57.94,0.03
5,29,107.07,3.79,52.5,0.04
5,30,159.5,2.86,45.3,0.03
5,31,144.1,2.19,45.09,0.02
5,32,186.27,3.43,52.37,0.04
5,33,159.06,2.85,59.52,0.04
5,34,104.13,2.64,57.16,0.02
5,35,169.3,3.62,35.73,0.03
5,36,160.22,2.09,44.45,0.04
5,37,140.98,3.38,45.74,0.04
5,38,133.44,2.03,42.94,0.02
5,39,139.54,3.13,59.77,0.03
5,40,181.65,2.86,36.02,0.02
5,41,154.66,3.86,52.7,0.03
5,42,181.71,3.74,37.97,0.02
5,43,124.05,3.75,50.56,0.03
5,44,134.94,3.38,46.38,0.03
5,45,120.63,3.91,32.11,0.03
5,46,124.38,3.45,31.07,0.03
5,47,141.51,2.62,58.44,0.02
5,48,166.82,3.91,57.25,0.04
5,49,189.04,2.02,32.64,0.03
5,50,176.45,3.37,41.13,0.03
5,51,191.47,3.69,39.27,0.02
5,52,134.7,2.29,40.51,0.04
5,53,110.24,2.22,47.9,0.03
5,54,161.32,2.18,31.04,0.04
5,55,129.22,2.78,49.0,0.02
5,56,192.3,2.4,49.17,0.04
5,57,121.66,3.42,59.84,0.03
5,58,120.04,2.63,45.15,0.03
5,59,110.7,3.23,35.09,0.03
5,60,186.62,2.06,42.31,0.03
5,61,147.99,3.91,42.11,0.02
5,62,193.33,2.18,31.42,0.03
5,63,167.27,3.62,58.55,0.03
5,64,194.17,2.31,35.46,0.03
5,65,184.93,3.76,37.3,0.03
5,66,190.41,2.79,40.45,0.02
5,67,166.13,3.21,43.33,0.03
5,68,171.74,2.89,50.97,0.04
5,69,158.37,2.2,40.73,0.04
5,70,102.13,3.03,45.35,0.02
5,71,135.36,2.69,34.94,0.03
5,72,121.37,3.49,56.4,0.03
5,73,167.54,2.79,37.71,0.03
5,74,182.86,3.65,48.07,0.04
5,75,138.11,3.21,44.39,0.03
5,76,109.97,3.99,35.79,0.02
5,77,169.24,2.28,53.51,0.03
5,78,110.89,2.38,42.54,0.03
5,79,117.39,3.99,51.6,0.04
5,80,119.9,2.7,48.87,0.02
5,81,178.47,2.33,45.19,0.03
5,82,133.23,2.44,50.66,0.03
5,83,193.94,3.49,34.26,0.03
5,84,190.31,3.7,59.24,0.03
5,85,100.39,3.37,50.08,0.02
5,86,137.1,3.76,30.57,0.02
5,87,188.62,2.38,55.18,0.02
5,88,141.95,2.05,48.01,0.03
5,89,127.22,2.67,36.6,0.04
5,90,184.15,3.68,51.35,0.02
5,91,111.88,2.71,45.31,0.04
5,92,143.18,2.28,53.17,0.02
5,93,164.9,3.23,36.23,0.02
5,94,134.14,2.96,54.06,0.02
5,95,175.49,3.67,45.48,0.04
5,96,168.55,2.89,40.45,0.03
5,97,159.67,3.3,57.63,0.03
5,98,137.39,2.56,36.71,0.02
5,99,155.37,2.45,40.24,0.04
6,0,102.79,2.93,43.05,0.02
6,1,140.32,2.33,47.12,0.03
6,2,158.14,2.35,38.07,0.03
6,3,149.06,2.32,45.62,0.03
6,4,106.04,2.58,50.32,0.03
6,5,194.88,2.22,53.15,0.03
6,6,128.97,2.57,42.87,0.04
6,7,142.16,3.33,38.01,0.04
6,8,103.79,3.93,47.29,0.03
6,9,120.78,3.45,38.16,0.02
6,10,153.5,2.55,56.48,0.02
6,11,132.19,3.73,34.78,0.04
6,12,108.41,3.89,45.57,0.04
6,13,166.75,3.29,55.67,0.03
6,14,156.2,2.94,59.54,0.04
6,15,144.95,2.54,38.47,0.02
6,16,123.33,3.28,33.84,0.03
6,17,146.21,2.95,45.56,0.03
6,18,179.75,2.36,43.17,0.04
6,19,159.65,3.11,49.66,0.02
6,20,173.09,3.72,41.03,0.03
6,21,115.74,2.21,38.63,0.02
6,22,133.39,3.76,36.76,0.02
6,23,142.18,3.65,56.24,0.02
6,24,150.17,2.19,32.57,0.03
6,25,154.12,3.62,43.67,0.04
6,26,131.79,3.61,56.41,0.03
6,27,151.27,2.28,41.76,0.02
6,28,194.35,3.57,33.11,0.03
6,29,183.77,2.06,38.49,0.03
6,30,162.08,3.28,40.62,0.03
6,31,123.77,3.87,36.01,0.03
6,32,124.38,3.06,42.44,0.03
6,33,194.9,2.72,56.78,0.03
6,34,123.95,2.17,47.87,0.04
6,35,113.5,2.67,35.04,0.03
6,36,119.51,3.14,53.73,0.03
6,37,146.28,2.31,55.22,0.04
6,38,170.6,2.84,51.73,0.02
6,39,198.47,3.94,32.18,0.03
6,40,103.95,3.35,35.57,0.02
6,41,181.59,3.33,39.84,0.03
6,42,196.83,3.94,33.9,0.03
6,43,102.69,2.51,36.7,0.02
6,44,172.1,2.96,43.77,0.02
6,45,117.27,3.79,49.2,0.02
6,46,179.35,2.17,35.65,0.03
6,47,185.18,2.73,46.5,0.03
6,48,182.38,3.23,58.2,0.04
6,49,100.88,2.67,55.21,0.03
6,50,118.36,3.78,57.49,0.04
6,51,122.2,3.33,57.16,0.03
6,52,153.2,3.95,38.5,0.04
6,53,106.34,2.23,53.52,0.04
6,54,103.06,2.4,55.45,0.03
6,55,188.49,2.93,53.26,0.04
6,56,137.93,2.27,48.79,0.04
6,57,108.37,2.05,56.65,0.02
6,58,170.39,2.66,43.73,0.03
6,59,188.0,2.62,56.88,0.03
6,60,120.34,2.31,55.78,0.03
6,61,167.51,2.52,31.8,0.04
6,62,171.74,3.16,47.19,0.03
6,63,165.81,2.68,40.98,0.03
6,64,104.6,2.46,58.58,0.03
6,65,124.37,2.2,35.61,0.03
6,66,196.2,3.87,51.75,0.03
6,67,169.61,3.33,36.76,0.03
6,68,198.32,2.38,56.69,0.04
6,69,188.91,3.31,31.75,0.03
6,70,164.43,2.78,36.0,0.03
6,71,190.2,2.55,31.16,0.04
6,72,112.03,3.73,41.88,0.04
6,73,197.35,2.07,43.92,0.03
6,74,189.34,2.39,30.32,0.03
6,75,122.79,3.24,51.27,0.03
6,76,116.79,2.71,50.7,0.03
6,77,186.15,3.52,48.02,0.03
6,78,103.97,3.27,51.86,0.04
6,79,171.91,3.83,38.85,0.04
6,80,122.81,2.85,35.28,0.04
6,81,176.08,3.01,42.07,0.03
6,82,174.81,3.31,56.55,0.04
6,83,181.1,3.93,46.21,0.03
6,84,123.6,3.11,51.46,0.04
6,85,171.91,3.54,35.2,0.03
6,86,175.56,3.21,51.25,0.04
6,87,199.24,3.7,47.07,0.03
6,88,108.35,2.13,41.41,0.04
6,89,133.52,3.34,36.86,0.04
6,90,102.11,2.59,32.03,0.03
6,91,113.99,3.93,39.72,0.02
6,92,161.05,3.97,57.63,0.03
6,93,136.31,3.69,32.91,0.03
6,94,150.1,2.08,30.27,0.02
