x-waarde,y-waarde,CO2,CH4,NO2,NH3,tot_uitstoot,omgevingsuitstoot,Code,Naam,Straat,Huisnr,Postcd,Plaats,Xwaarde,Ywaarde,Maxuitst,Beruitst,Boete,Controle,Freq,Ctpers,_merge
0,88,109.55,3.06,44.94,0.02,430.75,0.0,,,,,,,,,,,,,,,left_only
0,89,151.8,2.97,38.0,0.02,436.05,0.0,,,,,,,,,,,,,,,left_only
0,90,133.68,2.19,53.13,0.03,484.08000000000004,0.0,,,,,,,,,,,,,,,left_only
0,91,131.34,3.12,59.58,0.03,537.24,0.0,,,,,,,,,,,,,,,left_only
0,92,145.97,2.33,42.15,0.04,454.97,0.0,,,,,,,,,,,,,,,left_only
0,93,101.96,2.9,51.47,0.02,451.81,0.0,,,,,,,,,,,,,,,left_only
0,94,182.43,3.75,33.78,0.04,485.08000000000004,0.0,,,,,,,,,,,,,,,left_only
0,95,155.76,3.4,52.37,0.03,532.6099999999999,0.0,,,,,,,,,,,,,,,left_only
0,96,198.84,2.89,53.64,0.03,569.29,0.0,,,,,,,,,,,,,,,left_only
0,97,127.77,3.8,31.33,0.02,399.41999999999996,0.0,,,,,,,,,,,,,,,left_only
0,98,169.47,3.23,51.6,0.03,538.22,0.0,,,,,,,,,,,,,,,left_only
0,99,178.07,3.41,54.64,0.02,556.52,0.0,,,,,,,,,,,,,,,left_only
1,0,834.19,18.66,257.38,0.16,2747.59,686.8975,,,,,,,,,,,,,,,left_only
1,1,1487.72,21.61,577.89,0.32,5237.42,2618.71,,,,,,,,,,,,,,,left_only
1,2,1487.72,21.61,577.89,0.32,5237.42,2618.71,,,,,,,,,,,,,,,left_only
1,3,1487.72,21.61,577.89,0.32,5237.42,2618.71,,,,,,,,,,,,,,,left_only
1,4,834.19,18.66,257.38,0.16,2747.59,686.8975,,,,,,,,,,,,,,,left_only
1,5,117.27,2.05,55.99,0.03,478.46999999999997,0.0,,,,,,,,,,,,,,,left_only
1,6,161.68,2.78,56.55,0.03,543.9300000000001,0.0,,,,,,,,,,,,,,,left_only
1,7,109.35,3.9,55.59,0.03,514.8000000000001,0.0,,,,,,,,,,,,,,,left_only
1,8,195.66,2.83,45.12,0.03,522.01,0.0,,,,,,,,,,,,,,,left_only
1,9,195.08,2.87,39.62,0.03,494.93000000000006,0.0,,,,,,,,,,,,,,,left_only
1,10,110.16,3.5,38.44,0.04,429.86,0.0,,,,,,,,,,,,,,,left_only
1,11,182.99,3.87,45.74,0.03,538.44,0.0,,,,,,,,,,,,,,,left_only
1,12,178.15,2.23,59.43,0.02,551.05,0.0,,,,,,,,,,,,,,,left_only
1,13,142.53,2.48,42.25,0.02,435.78,0.0,,,,,,,,,,,,,,,left_only
1,14,166.67,2.93,41.26,0.03,476.21999999999997,0.0,,,,,,,,,,,,,,,left_only
1,15,150.91,3.35,59.86,0.03,563.96,0.0,,,,,,,,,,,,,,,left_only
1,16,111.92,3.37,46.46,0.03,458.47,0.0,,,,,,,,,,,,,,,left_only
1,17,141.8,3.49,32.93,0.03,423.70000000000005,0.0,,,,,,,,,,,,,,,left_only
1,18,174.91,3.04,50.62,0.03,534.01,0.0,,,,,,,,,,,,,,,left_only
1,19,188.79,2.97,49.53,0.03,540.6899999999999,0.0,,,,,,,,,,,,,,,left_only
1,20,185.26,3.68,38.37,0.03,499.11,0.0,,,,,,,,,,,,,,,left_only
1,21,119.5,2.51,46.7,0.04,455.75,0.0,,,,,,,,,,,,,,,left_only
1,22,106.25,3.39,52.76,0.02,474.8,0.0,,,,,,,,,,,,,,,left_only
1,23,183.68,3.77,52.7,0.04,581.4300000000001,0.0,,,,,,,,,,,,,,,left_only
1,24,181.14,3.21,45.05,0.02,506.64,0.0,,,,,,,,,,,,,,,left_only
1,25,198.95,2.98,49.71,0.04,562.0,0.0,,,,,,,,,,,,,,,left_only
1,26,191.4,2.31,43.9,0.02,488.65,0.0,,,,,,,,,,,,,,,left_only
1,27,102.28,3.26,54.72,0.04,497.38,0.0,,,,,,,,,,,,,,,left_only
1,28,131.34,2.42,33.25,0.03,388.09000000000003,0.0,,,,,,,,,,,,,,,left_only
1,29,101.6,2.84,46.53,0.03,435.25,0.0,,,,,,,,,,,,,,,left_only
1,30,150.65,3.35,35.38,0.03,441.3,0.0,,,,,,,,,,,,,,,left_only
1,31,133.71,2.84,45.97,0.03,464.56,0.0,,,,,,,,,,,,,,,left_only
1,32,174.55,3.55,48.66,0.03,536.6,0.0,,,,,,,,,,,,,,,left_only
1,33,192.56,2.74,41.24,0.03,497.26,0.0,,,,,,,,,,,,,,,left_only
1,34,146.08,3.05,33.39,0.03,419.28,0.0,,,,,,,,,,,,,,,left_only
1,35,196.66,2.81,55.27,0.03,573.26,0.0,,,,,,,,,,,,,,,left_only
1,36,110.13,3.93,59.65,0.03,536.63,0.0,,,,,,,,,,,,,,,left_only
1,37,157.29,3.23,38.46,0.02,450.34000000000003,0.0,,,,,,,,,,,,,,,left_only
1,38,171.24,2.37,50.58,0.03,513.39,0.0,,,,,,,,,,,,,,,left_only
1,39,166.3,3.9,59.68,0.04,602.2,0.0,,,,,,,,,,,,,,,left_only
1,40,121.91,2.73,30.32,0.03,371.76,0.0,,,,,,,,,,,,,,,left_only
1,41,176.99,3.15,31.01,0.03,440.79,0.0,,,,,,,,,,,,,,,left_only
1,42,143.81,2.42,52.68,0.04,507.71,0.0,,,,,,,,,,,,,,,left_only
1,43,184.97,3.72,54.98,0.02,572.87,0.0,,,,,,,,,,,,,,,left_only
1,44,141.34,3.57,36.86,0.04,454.89,0.0,,,,,,,,,,,,,,,left_only
1,45,116.53,2.67,48.26,0.03,454.58,0.0,,,,,,,,,,,,,,,left_only
1,46,191.22,2.15,58.8,0.02,558.97,0.0,,,,,,,,,,,,,,,left_only
1,47,188.4,3.3,50.51,0.03,553.4499999999999,0.0,,,,,,,,,,,,,,,left_only
1,48,197.01,2.38,43.18,0.03,502.40999999999997,0.0,,,,,,,,,,,,,,,left_only
1,49,121.05,2.03,54.94,0.03,476.5,0.0,,,,,,,,,,,,,,,left_only
1,50,134.57,3.32,37.48,0.04,444.96999999999997,0.0,,,,,,,,,,,,,,,left_only
1,51,135.84,3.32,36.34,0.03,430.54,0.0,,,,,,,,,,,,,,,left_only
1,52,142.12,3.65,30.39,0.03,415.32,0.0,,,,,,,,,,,,,,,left_only
1,53,122.29,2.1,58.65,0.03,498.04,0.0,,,,,,,,,,,,,,,left_only
1,54,149.51,3.04,30.93,0.03,410.15999999999997,0.0,,,,,,,,,,,,,,,left_only
1,55,100.39,3.62,58.16,0.02,501.68999999999994,0.0,,,,,,,,,,,,,,,left_only
1,56,134.65,3.15,47.79,0.04,492.35,0.0,,,,,,,,,,,,,,,left_only
1,57,185.69,3.57,44.08,0.04,535.3399999999999,0.0,,,,,,,,,,,,,,,left_only
1,58,109.89,2.99,55.02,0.03,489.74,0.0,,,,,,,,,,,,,,,left_only
1,59,153.11,2.8,43.89,0.04,482.56,0.0,,,,,,,,,,,,,,,left_only
1,60,104.64,2.95,57.04,0.02,483.59,0.0,,,,,,,,,,,,,,,left_only
1,61,137.13,2.38,33.72,0.03,395.23,0.0,,,,,,,,,,,,,,,left_only
1,62,125.5,3.94,49.92,0.02,493.6,0.0,,,,,,,,,,,,,,,left_only
1,63,106.88,2.58,43.32,0.03,417.98,0.0,,,,,,,,,,,,,,,left_only
1,64,115.75,3.31,48.39,0.04,480.45,0.0,,,,,,,,,,,,,,,left_only
1,65,151.15,2.32,50.83,0.02,483.29999999999995,0.0,,,,,,,,,,,,,,,left_only
1,66,151.35,3.17,47.61,0.03,498.65,0.0,,,,,,,,,,,,,,,left_only
1,67,105.51,2.11,47.81,0.04,437.31,0.0,,,,,,,,,,,,,,,left_only
1,68,175.3,2.16,52.94,0.03,524.0,0.0,,,,,,,,,,,,,,,left_only
1,69,177.54,2.4,55.31,0.04,554.09,0.0,,,,,,,,,,,,,,,left_only
1,70,140.78,3.74,43.71,0.03,482.83000000000004,0.0,,,,,,,,,,,,,,,left_only
1,71,101.13,2.6,31.6,0.04,364.13,0.0,,,,,,,,,,,,,,,left_only
1,72,126.57,3.84,42.22,0.04,473.66999999999996,0.0,,,,,,,,,,,,,,,left_only
1,73,174.88,3.38,30.07,0.03,439.73,0.0,,,,,,,,,,,,,,,left_only
1,74,149.26,2.85,36.02,0.03,430.61,0.0,,,,,,,,,,,,,,,left_only
1,75,133.44,2.82,49.45,0.03,481.19,0.0,,,,,,,,,,,,,,,left_only
1,76,164.28,2.07,51.1,0.03,501.53,0.0,,,,,,,,,,,,,,,left_only
1,77,123.88,2.39,47.79,0.04,462.58,0.0,,,,,,,,,,,,,,,left_only
1,78,141.42,3.57,51.75,0.03,519.42,0.0,,,,,,,,,,,,,,,left_only
1,79,168.96,3.84,31.17,0.02,440.81000000000006,0.0,,,,,,,,,,,,,,,left_only
1,80,169.21,2.43,34.5,0.04,442.46000000000004,0.0,,,,,,,,,,,,,,,left_only
1,81,193.26,3.66,58.36,0.02,596.56,0.0,,,,,,,,,,,,,,,left_only
1,82,197.08,2.73,54.4,0.03,567.33,0.0,,,,,,,,,,,,,,,left_only
1,83,154.56,3.83,45.77,0.02,499.16,0.0,,,,,,,,,,,,,,,left_only
1,84,101.23,3.69,35.17,0.02,389.33000000000004,0.0,,,,,,,,,,,,,,,left_only
1,85,172.04,3.77,55.76,0.03,575.0899999999999,0.0,,,,,,,,,,,,,,,left_only
1,86,117.35,3.14,57.86,0.04,525.15,0.0,,,,,,,,,,,,,,,left_only
1,87,164.71,3.04,39.43,0.03,467.86,0.0,,,,,,,,,,,,,,,left_only
1,88,134.9,3.22,51.6,0.04,513.4,0.0,,,,,,,,,,,,,,,left_only
1,89,188.57,3.53,38.45,0.04,509.07,0.0,,,,,,,,,,,,,,,left_only
1,90,173.01,3.92,44.61,0.02,514.06,0.0,,,,,,,,,,,,,,,left_only
1,91,110.88,2.56,48.84,0.03,449.08000000000004,0.0,,,,,,,,,,,,,,,left_only
1,92,151.62,3.88,30.67,0.02,421.97,0.0,,,,,,,,,,,,,,,left_only
1,93,196.14,2.04,47.12,0.03,512.74,0.0,,,,,,,,,,,,,,,left_only
1,94,129.17,2.13,34.41,0.03,384.46999999999997,0.0,,,,,,,,,,,,,,,left_only
1,95,113.35,3.82,31.79,0.03,397.79999999999995,0.0,,,,,,,,,,,,,,,left_only
1,96,183.48,3.79,58.09,0.02,588.6800000000001,0.0,,,,,,,,,,,,,,,left_only
1,97,127.27,3.19,56.34,0.04,528.72,0.0,,,,,,,,,,,,,,,left_only
1,98,139.94,2.79,58.22,0.03,530.79,0.0,,,,,,,,,,,,,,,left_only
1,99,112.27,2.41,42.51,0.04,425.06999999999994,0.0,,,,,,,,,,,,,,,left_only
2,0,834.19,18.66,257.38,0.16,2747.59,686.8975,,,,,,,,,,,,,,,left_only
2,1,1487.72,21.61,577.89,0.32,5237.42,2618.71,,,,,,,,,,,,,,,left_only
2,2,2067.05,71.37,760.98,0.5,8156.200000000001,8156.200000000001,0001,Shell,Van Leeuwenhoeklaan,2,2713RB,Zoetermeer,2.0,2.0,30000.0,,,j,1.0,Ben van Beurden,both
2,3,1487.72,21.61,577.89,0.32,5237.42,2618.71,,,,,,,,,,,,,,,left_only
2,4,834.19,18.66,257.38,0.16,2747.59,686.8975,,,,,,,,,,,,,,,left_only
2,5,129.69,3.28,49.07,0.03,487.03999999999996,0.0,,,,,,,,,,,,,,,left_only
2,6,158.27,3.87,41.26,0.02,481.32,0.0,,,,,,,,,,,,,,,left_only
2,7,104.31,3.89,58.08,0.03,521.96,0.0,,,,,,,,,,,,,,,left_only
2,8,180.1,3.81,46.66,0.02,528.65,0.0,,,,,,,,,,,,,,,left_only
2,9,176.57,2.53,51.77,0.03,528.6700000000001,0.0,,,,,,,,,,,,,,,left_only
2,10,115.61,2.04,57.5,0.03,484.11,0.0,,,,,,,,,,,,,,,left_only
2,11,136.4,2.68,49.14,0.04,489.1,0.0,,,,,,,,,,,,,,,left_only
2,12,192.95,3.53,53.49,0.03,578.65,0.0,,,,,,,,,,,,,,,left_only
2,13,131.33,2.04,54.52,0.03,484.93000000000006,0.0,,,,,,,,,,,,,,,left_only
2,14,193.92,2.98,38.92,0.02,483.02,0.0,,,,,,,,,,,,,,,left_only
2,15,191.12,3.63,42.67,0.04,535.22,0.0,,,,,,,,,,,,,,,left_only
2,16,132.21,2.67,38.47,0.02,411.31,0.0,,,,,,,,,,,,,,,left_only
2,17,119.39,3.08,31.26,0.04,392.69,0.0,,,,,,,,,,,,,,,left_only
2,18,159.05,3.89,47.51,0.03,523.85,0.0,,,,,,,,,,,,,,,left_only
2,19,113.17,2.31,33.8,0.04,379.92,0.0,,,,,,,,,,,,,,,left_only
2,20,175.39,2.6,38.58,0.03,463.28999999999996,0.0,,,,,,,,,,,,,,,left_only
2,21,185.75,2.71,42.12,0.03,494.1,0.0,,,,,,,,,,,,,,,left_only
2,22,132.18,2.71,42.46,0.02,432.23,0.0,,,,,,,,,,,,,,,left_only
2,23,187.75,2.44,45.5,0.03,506.25,0.0,,,,,,,,,,,,,,,left_only
2,24,148.6,2.69,37.77,0.03,434.70000000000005,0.0,,,,,,,,,,,,,,,left_only
2,25,175.35,2.81,35.18,0.03,451.5,0.0,,,,,,,,,,,,,,,left_only
2,26,106.81,3.14,39.76,0.03,414.11,0.0,,,,,,,,,,,,,,,left_only
2,27,141.26,3.2,35.23,0.02,417.40999999999997,0.0,,,,,,,,,,,,,,,left_only
2,28,159.63,3.19,45.8,0.03,498.38,0.0,,,,,,,,,,,,,,,left_only
2,29,154.23,3.16,53.49,0.03,530.68,0.0,,,,,,,,,,,,,,,left_only
2,30,168.59,2.94,32.93,0.04,446.74,0.0,,,,,,,,,,,,,,,left_only
2,31,111.06,2.43,32.47,0.02,354.15999999999997,0.0,,,,,,,,,,,,,,,left_only
2,32,156.46,2.52,36.82,0.03,433.56,0.0,,,,,,,,,,,,,,,left_only
2,33,123.77,3.17,30.4,0.02,375.02,0.0,,,,,,,,,,,,,,,left_only
2,34,116.27,3.75,30.93,0.03,394.66999999999996,0.0,,,,,,,,,,,,,,,left_only
2,35,114.65,2.19,41.76,0.04,418.2,0.0,,,,,,,,,,,,,,,left_only
2,36,178.74,2.18,44.42,0.02,475.34000000000003,0.0,,,,,,,,,,,,,,,left_only
2,37,161.44,3.39,32.68,0.03,439.59000000000003,0.0,,,,,,,,,,,,,,,left_only
2,38,100.01,3.38,36.86,0.02,388.81,0.0,,,,,,,,,,,,,,,left_only
2,39,179.27,3.12,41.53,0.03,494.91999999999996,0.0,,,,,,,,,,,,,,,left_only
2,40,131.95,2.73,47.93,0.03,469.85,0.0,,,,,,,,,,,,,,,left_only
2,41,189.26,3.22,52.69,0.03,563.21,0.0,,,,,,,,,,,,,,,left_only
2,42,183.01,3.08,47.93,0.04,539.66,0.0,,,,,,,,,,,,,,,left_only
2,43,191.56,3.44,59.34,0.04,614.26,0.0,,,,,,,,,,,,,,,left_only
2,44,158.25,2.91,33.1,0.02,416.5,0.0,,,,,,,,,,,,,,,left_only
2,45,171.27,2.15,38.4,0.03,447.02,0.0,,,,,,,,,,,,,,,left_only
2,46,188.57,3.21,34.59,0.03,471.77,0.0,,,,,,,,,,,,,,,left_only
2,47,198.3,3.0,45.66,0.04,541.6,0.0,,,,,,,,,,,,,,,left_only
2,48,191.79,3.53,34.93,0.04,494.68999999999994,0.0,,,,,,,,,,,,,,,left_only
2,49,176.1,2.87,38.34,0.03,469.55,0.0,,,,,,,,,,,,,,,left_only
2,50,151.76,2.52,44.59,0.03,467.71000000000004,0.0,,,,,,,,,,,,,,,left_only
2,51,113.61,3.62,34.88,0.02,398.51,0.0,,,,,,,,,,,,,,,left_only
2,52,158.97,3.71,38.07,0.03,472.07,0.0,,,,,,,,,,,,,,,left_only
2,53,197.64,2.62,36.57,0.03,475.99,0.0,,,,,,,,,,,,,,,left_only
2,54,155.46,2.6,55.25,0.04,536.71,0.0,,,,,,,,,,,,,,,left_only
2,55,104.9,3.31,39.67,0.02,406.0,0.0,,,,,,,,,,,,,,,left_only
2,56,119.22,2.84,36.44,0.04,412.41999999999996,0.0,,,,,,,,,,,,,,,left_only
2,57,121.77,2.57,55.58,0.03,493.91999999999996,0.0,,,,,,,,,,,,,,,left_only
2,58,172.56,3.03,40.97,0.03,483.15999999999997,0.0,,,,,,,,,,,,,,,left_only
2,59,162.18,3.87,53.86,0.03,558.23,0.0,,,,,,,,,,,,,,,left_only
2,60,194.52,2.64,58.91,0.02,575.0699999999999,0.0,,,,,,,,,,,,,,,left_only
2,61,174.73,3.06,33.11,0.04,456.78,0.0,,,,,,,,,,,,,,,left_only
2,62,100.03,2.56,56.85,0.04,488.28,0.0,,,,,,,,,,,,,,,left_only
2,63,116.02,3.51,35.39,0.03,410.71999999999997,0.0,,,,,,,,,,,,,,,left_only
2,64,111.56,3.63,54.35,0.03,504.06,0.0,,,,,,,,,,,,,,,left_only
2,65,185.39,3.3,36.93,0.04,492.53999999999996,0.0,,,,,,,,,,,,,,,left_only
2,66,115.9,3.16,30.66,0.02,368.20000000000005,0.0,,,,,,,,,,,,,,,left_only
2,67,147.43,2.55,44.92,0.03,465.78000000000003,0.0,,,,,,,,,,,,,,,left_only
2,68,113.65,3.83,43.69,0.03,457.85,0.0,,,,,,,,,,,,,,,left_only
2,69,178.28,2.36,38.08,0.03,457.67999999999995,0.0,,,,,,,,,,,,,,,left_only
2,70,152.1,2.59,53.78,0.03,515.75,0.0,,,,,,,,,,,,,,,left_only
2,71,135.91,3.89,51.4,0.02,510.15999999999997,0.0,,,,,,,,,,,,,,,left_only
2,72,169.59,3.72,43.06,0.02,497.89000000000004,0.0,,,,,,,,,,,,,,,left_only
2,73,156.98,3.28,58.8,0.04,572.98,0.0,,,,,,,,,,,,,,,left_only
2,74,196.38,3.84,48.52,0.03,564.98,0.0,,,,,,,,,,,,,,,left_only
2,75,191.25,2.22,35.1,0.02,442.25,0.0,,,,,,,,,,,,,,,left_only
2,76,106.21,2.89,49.09,0.03,453.90999999999997,0.0,,,,,,,,,,,,,,,left_only
2,77,189.09,2.68,52.47,0.02,538.44,0.0,,,,,,,,,,,,,,,left_only
2,78,138.23,3.78,59.85,0.03,561.98,0.0,,,,,,,,,,,,,,,left_only
2,79,147.25,2.63,32.0,0.03,403.0,0.0,,,,,,,,,,,,,,,left_only
2,80,188.91,2.48,37.4,0.02,457.90999999999997,0.0,,,,,,,,,,,,,,,left_only
2,81,102.2,2.04,36.83,0.03,367.34999999999997,0.0,,,,,,,,,,,,,,,left_only
2,82,158.96,2.8,59.71,0.02,547.51,0.0,,,,,,,,,,,,,,,left_only
2,83,144.44,3.17,30.66,0.02,396.99,0.0,,,,,,,,,,,,,,,left_only
2,84,153.69,2.32,57.47,0.03,529.04,0.0,,,,,,,,,,,,,,,left_only
2,85,121.4,3.31,52.89,0.04,508.6,0.0,,,,,,,,,,,,,,,left_only
2,86,108.98,3.98,54.65,0.03,511.73,0.0,,,,,,,,,,,,,,,left_only
2,87,172.76,2.86,30.93,0.02,418.90999999999997,0.0,,,,,,,,,,,,,,,left_only
2,88,128.85,3.13,41.98,0.03,447.0,0.0,,,,,,,,,,,,,,,left_only
